window_start_date,window_end_date,window_observations,rolling_R_OS_squared
1967-03-01,2017-02-01,600,-0.010831820997041275
1967-04-01,2017-03-01,600,-0.011838725187811594
1967-05-01,2017-04-01,600,-0.0126797888271164
1967-06-01,2017-05-01,600,-0.013383628966144423
1967-07-01,2017-06-01,600,-0.013749062353211272
1967-08-01,2017-07-01,600,-0.013512482475937393
1967-09-01,2017-08-01,600,-0.012944023149193518
1967-10-01,2017-09-01,600,-0.012177178245126097
1967-11-01,2017-10-01,600,-0.012014166132046089
1967-12-01,2017-11-01,600,-0.011841449778249302
1968-01-01,2017-12-01,600,-0.011360427585215715
1968-02-01,2018-01-01,600,-0.012072808614261854
1968-03-01,2018-02-01,600,-0.012764053953010723
1968-04-01,2018-03-01,600,-0.013675672452234222
1968-05-01,2018-04-01,600,-0.014022745644968415
1968-06-01,2018-05-01,600,-0.013831815967435102
1968-07-01,2018-06-01,600,-0.013735461008018701
1968-08-01,2018-07-01,600,-0.014442099770852312
1968-09-01,2018-08-01,600,-0.015092286189970938
1968-10-01,2018-09-01,600,-0.015546002881489773
1968-11-01,2018-10-01,600,-0.015067809923203335
1968-12-01,2018-11-01,600,-0.013950062936461727
1969-01-01,2018-12-01,600,-0.01288177292798287
1969-02-01,2019-01-01,600,-0.011689513673423857
1969-03-01,2019-02-01,600,-0.011250371211900978
1969-04-01,2019-03-01,600,-0.010781352246692189
1969-05-01,2019-04-01,600,-0.011206457077680643
1969-06-01,2019-05-01,600,-0.011261678254813168
1969-07-01,2019-06-01,600,-0.012520287306341027
1969-08-01,2019-07-01,600,-0.0140401512729329
1969-09-01,2019-08-01,600,-0.014910487896227398
1969-10-01,2019-09-01,600,-0.016618287688701328
1969-11-01,2019-10-01,600,-0.018509106426936706
1969-12-01,2019-11-01,600,-0.021516279299954144
1970-01-01,2019-12-01,600,-0.024686343125212895
1970-02-01,2020-01-01,600,-0.028303256456866377
1970-03-01,2020-02-01,600,-0.030158515877916292
1970-04-01,2020-03-01,600,-0.03161005573116671
1970-05-01,2020-04-01,600,-0.034737428044155916
1970-06-01,2020-05-01,600,-0.03915791279668257
1970-07-01,2020-06-01,600,-0.04290965184784379
1970-08-01,2020-07-01,600,-0.04558178875280827
1970-09-01,2020-08-01,600,-0.049141326180039746
1970-10-01,2020-09-01,600,-0.05167278037117007
1970-11-01,2020-10-01,600,-0.05477766394465422
1970-12-01,2020-11-01,600,-0.05782596919646399
1971-01-01,2020-12-01,600,-0.0602486348614546
1971-02-01,2021-01-01,600,-0.06150274759248808
1971-03-01,2021-02-01,600,-0.06361985403065251
1971-04-01,2021-03-01,600,-0.065130992214115
1971-05-01,2021-04-01,600,-0.06626969237427716
1971-06-01,2021-05-01,600,-0.06751825805097678
1971-07-01,2021-06-01,600,-0.06909660922407523
1971-08-01,2021-07-01,600,-0.07062074620972525
1971-09-01,2021-08-01,600,-0.07177120741102438
1971-10-01,2021-09-01,600,-0.07294431514363353
1971-11-01,2021-10-01,600,-0.07478382488201052
1971-12-01,2021-11-01,600,-0.07608782591081398
1972-01-01,2021-12-01,600,-0.07699332188805186
