YEAR,MONTH,dp,dg,rf,re
1950,1,-2.784969854,0.100032776,0.032048352,0.210992077
1950,2,-2.784148845,0.081117717,0.023680103,0.24757844
1950,3,-2.791165314,0.070439066,0.019433812,0.216690289
1950,4,-2.833722705,0.063919051,0.02362669,0.276630974
1950,5,-2.841615892,0.075327589,0.015205476,0.339997584
1950,6,-2.779783569,0.066896565,0.015187821,0.283028101
1950,7,-2.788204413,0.052796577,-0.005641944,0.221340468
1950,8,-2.763139794,0.099398505,-0.009596016,0.238015368
1950,9,-2.790474667,0.127049894,-0.009410015,0.253071503
1950,10,-2.78306869,0.132132848,-0.025677051,0.20445507
1950,11,-2.713836416,0.161303839,-0.025223604,0.215345065
1950,12,-2.75566981,0.151442623,-0.045535254,0.197266202
1951,1,-2.803548938,0.135791805,-0.065255333,0.213200616
1951,2,-2.792628845,0.133900884,-0.076897246,0.201837727
1951,3,-2.75921023,0.140990854,-0.07643456,0.170452336
1951,4,-2.806596795,0.145765816,-0.076035,0.17729575
1951,5,-2.751184199,0.143193351,-0.07547536,0.114658131
1951,6,-2.719946871,0.15223028,-0.071065047,0.156192693
1951,7,-2.786295259,0.160996071,-0.058239132,0.218910451
1951,8,-2.8243053,0.103219656,-0.049674967,0.222040555
1951,9,-2.831729971,0.080839945,-0.05306075,0.17933613
1951,10,-2.797308222,0.088605765,-0.048322095,0.162032623
1951,11,-2.864886084,-0.06681172,-0.051869894,0.139662838
1951,12,-2.908122116,-0.079396586,-0.04347815,0.126196525
1952,1,-2.926007747,-0.073883105,-0.027405081,0.100798673
1952,2,-2.871476758,-0.052292835,-0.007887689,0.081625724
1952,3,-2.916646961,-0.061094166,-0.004004189,0.149043959
1952,4,-2.859897996,-0.0594838,-0.007899135,0.049511868
1952,5,-2.883216227,-0.078764344,-0.003930783,0.107712791
1952,6,-2.918542954,-0.084154274,-0.00741191,0.167045956
1952,7,-2.92147405,-0.086354908,-0.014731022,0.101278036
1952,8,-2.918212705,-0.093604781,-0.014531302,0.052923697
1952,9,-2.88969767,-0.077337195,-0.006439516,0.034733214
1952,10,-2.883866041,-0.083222581,-0.00281512,0.057745923
1952,11,-2.939115646,-0.010295333,0.004689585,0.115494365
1952,12,-2.966749698,0.006013783,0.008869748,0.114830867
1953,1,-2.971697796,0.005503573,0.012721943,0.101141479
1953,2,-2.953620375,-0.010581628,0.009112373,0.122398211
1953,3,-2.935334474,-0.007873827,0.006044876,0.062564179
1953,4,-2.910855154,-0.013330711,0.010239388,0.090625992
1953,5,-2.909432194,-0.018077374,0.006886439,0.06121164
1953,6,-2.883774535,-0.013656682,0.007228346,0.00599043
1953,7,-2.908566705,-0.013366176,0.014747178,0.026844281
1953,8,-2.854620428,-0.005225825,0.01122246,-0.012837024
1953,9,-2.851398923,-0.008270598,0.01122246,0.009587389
1953,10,-2.902762825,-0.017396683,0.007412015,0.054918975
1953,11,-2.911087313,0.002428418,0.010922774,0.027387646
1953,12,-2.89522676,0.016133626,0.010623209,-0.001577031
1954,1,-2.943745023,0.021600238,0.006371533,0.044975469
1954,2,-2.954850301,0.007446222,0.001905785,0.059451442
1954,3,-2.984559537,0.012521873,0.004673566,0.111071975
1954,4,-3.02560824,0.020619357,0.007698839,0.18276
1954,5,-3.046645428,0.02319557,0.006528108,0.206832418
1954,6,-3.048266235,0.02860234,0.009067868,0.239444186
1954,7,-3.097475533,0.028606517,0.008068867,0.261688267
1954,8,-3.05139322,0.046773648,0.010594584,0.28975517
1954,9,-3.114131599,0.044931387,0.013619857,0.351122957
1954,10,-3.091333372,0.060603821,0.016731036,0.293613484
1954,11,-3.143027807,0.076432088,0.012820596,0.350619427
1954,12,-3.199449756,0.062299801,0.016059443,0.406497687
1955,1,-3.205859775,0.060476604,0.015759728,0.362315833
1955,2,-3.222526829,0.06988875,0.015959568,0.376645814
1955,3,-3.208944783,0.076584384,0.016159388,0.340574135
1955,4,-3.239393633,0.072687191,0.012534894,0.324911886
1955,5,-3.226658636,0.090636469,0.017158439,0.30957217
1955,6,-3.287933593,0.085109315,0.017558119,0.361427655
1955,7,-3.307399799,0.081989152,0.014319422,0.327870395
1955,8,-3.282489576,0.088572004,0.015418269,0.356515773
1955,9,-3.273611223,0.088469484,0.008668597,0.28511909
1955,10,-3.248246583,0.082278116,0.009767223,0.277298203
1955,11,-3.260949176,0.100509097,0.01086596,0.256065286
1955,12,-3.267657249,0.112948601,0.011850739,0.218543947
1956,1,-3.221778093,0.129354838,0.013248642,0.184382399
1956,2,-3.247301385,0.129288824,0.014247244,0.192205613
1956,3,-3.309633855,0.120257218,0.01474662,0.256824449
1956,4,-3.309372051,0.12030555,0.011920918,0.226171354
1956,5,-3.226208614,0.125023662,0.009108677,0.163513314
1956,6,-3.255586106,0.121373468,0.002727072,0.126859401
1956,7,-3.290279376,0.131692313,0.000337437,0.151138548
1956,8,-3.251490093,0.115401134,0.004093583,0.122387442
1956,9,-3.19345147,0.115816929,0.004361332,0.075867795
1956,10,-3.180843686,0.131665448,0.001416839,0.104973101
1956,11,-3.218689994,0.0443912,0.001716285,0.04135988
1956,12,-3.241346923,0.037784915,-0.00503914,0.049840302
1957,1,-3.202170096,0.025863224,-0.004540362,0.046123655
1957,2,-3.165112208,0.02689368,-0.007658075,-0.013952609
1957,3,-3.178255732,0.029634209,-0.010463199,-0.060929995
1957,4,-3.212397605,0.034437713,-0.009730786,-0.02306608
1957,5,-3.246999093,0.004677274,-0.009298761,0.063621301
1957,6,-3.2338911,0.009677295,-0.005084598,0.026629641
1957,7,-3.233756444,0.004614049,-0.00405286,-0.013256426
1957,8,-3.180153637,-0.003607178,-0.006910848,-0.034205547
1957,9,-3.112395861,0.001247466,-0.002456293,-0.03627537
1957,10,-3.070581816,-0.014802833,0.001585621,-0.079714587
1957,11,-3.100632667,0.009219431,-0.001143635,-0.064801193
1957,12,-3.056047361,0.008681079,0.002486133,-0.130619456
1958,1,-3.109147697,-0.008620303,-0.004431713,-0.057971345
1958,2,-3.084127012,-0.013280513,-0.002012917,-0.049512279
1958,3,-3.111740637,-0.021556831,-0.006775743,-0.044511232
1958,4,-3.139544013,-0.028172091,-0.008348483,-0.058634483
1958,5,-3.169869806,-0.032714997,-0.006267892,-0.06869364
1958,6,-3.190353199,-0.028917229,-0.004799995,-0.032122217
1958,7,-3.233747777,-0.034728288,-0.003457755,0.003915832
1958,8,-3.262827233,-0.043970651,-0.002100481,0.07626846
1958,9,-3.299490608,-0.04201131,-0.002798909,0.181320821
